Row 1: A=ID | B=속성 | C=타입 | D=이름 | E=게이지 | F=효과
Row 2: A=104 | B=불 | C=공격 | D=불1 | E=1 | F=소멸, 피해를 10 준다.
Row 3: A=107 | B=불 | C=공격 | D=불2 | E=2 | F=피해를 n 만큼 준다. (n = 화상 보유량)
Row 4: A=112 | B=불 | C=스킬 | D=불3 | E=1 | F=화상을 15 부여한다, 패에서 카드를 하나 선택하여 소멸한다.
Row 5: A=115 | B=불 | C=스킬 | D=불4 | E=2 | F=소멸, 화상을 20 부여한다.
Row 6: A=116 | B=불 | C=스킬 | D=불5 | E=3 | F=적이 보유한 화상 만큼 화상 부여한다.
Row 7: A=118 | B=불 | C=파워 | D=불6 | E=2 | F=적에게 피해를 줄 때 마다 화상을 1 부여한다.
Row 8: A=121 | B=불 | C=파워 | D=불7 | E=3 | F=카드가 소멸될 때 마다 적에게 화상을 5 부여한다.
Row 9: A=201 | B=물 | C=스킬 | D=물1 | E=1 | F=방어도를 3 얻는다.
Row 10: A=208 | B=물 | C=스킬 | D=물2 | E=1 | F=체력을 4 회복한다.
Row 11: A=216 | B=물 | C=스킬 | D=물3 | E=3 | F=패에 있는 카드를 모두 버리고 버린 만큼 카드를 뽑는다.
Row 12: A=312 | B=바람 | C=스킬 | D=바람1 | E=1 | F=카드를 2장 드로우 한다.
Row 13: A=320 | B=바람 | C=파워 | D=바람2 | E=3 | F=모든 공격 카드의 타격 횟수가 1번씩 늘어난다.
Row 14: A=321 | B=바람 | C=파워 | D=바람3 | E=3 | F=카드를 사용할 때 마다 적에게 피해를 3 준다.
Row 15: A=400 | B=땅 | C=스킬 | D=땅1 | E=1 | F=방어도를 3 얻는다.
Row 16: A=411 | B=땅 | C=스킬 | D=땅2 | E=2 | F=방어도를 5 얻는다, 무작위 파편 카드 1장을 뽑을 카드 더미에 섞어 넣는다.
Row 17: A=414 | B=땅 | C=스킬 | D=땅3 | E=3 | F=소멸, 파편을 하나 선택하여 같은 이름의 카드를 버린 카드 더미에 10장 섞어 넣는다.
Row 18: A=420 | B=땅 | C=파워 | D=땅4 | E=3 | F=이번 전투 동안 땅 속성 카드를 사용할 때 무작위 파편 카드를 버린 카드 더미에 추가한다.
Row 19: A=422 | B=파편 | C=스킬 | D=파편1 | E=1 | F=소멸, 방어도를 3 얻는다. 카드를 1장 드로우한다.
Row 20: A=423 | B=파편 | C=공격 | D=파편2 | E=1 | F=소멸, 피해를 5 준다. 카드를 1장 드로우한다.
Row 21: A=424 | B=파편 | C=공격 | D=파편3 | E=1 | F=소멸, 피해를 8 준다. 방어도를 5 얻는다.
