turn,mu_화상형,mu_파편형,mu_연속타격형,mu_피버형,mu_안정형,action,action_kr,correct,explored,drift
1,0.8284,0.0466,0.0369,0.0483,0.0398,0,저주,1,0,0.0189
2,0.8292,0.0436,0.0375,0.0485,0.0413,0,저주,1,0,0.0558
3,0.9217,0.0197,0.0175,0.0216,0.0195,0,저주,1,0,0.0942
4,0.8235,0.0473,0.0376,0.0508,0.0408,0,저주,1,0,0.1475
5,0.7800,0.0555,0.0480,0.0612,0.0554,0,저주,1,1,0.1724
6,0.8643,0.0355,0.0301,0.0369,0.0332,0,저주,1,0,0.2025
7,0.8216,0.0449,0.0400,0.0476,0.0460,0,저주,1,0,0.2125
8,0.9005,0.0245,0.0226,0.0274,0.0250,0,저주,1,0,0.2186
9,0.8805,0.0300,0.0260,0.0333,0.0301,0,저주,1,0,0.2255
10,0.7510,0.0642,0.0546,0.0716,0.0587,0,저주,1,0,0.2529
11,0.2281,0.2198,0.1698,0.1950,0.1873,5,버리기,0,0,0.2474
12,0.0452,0.8290,0.0357,0.0532,0.0368,1,탈진,1,0,0.2484
13,0.0297,0.8857,0.0254,0.0337,0.0254,1,탈진,1,0,0.2524
14,0.0342,0.8648,0.0301,0.0405,0.0304,1,탈진,1,0,0.2450
15,0.0535,0.7849,0.0470,0.0675,0.0471,1,탈진,1,0,0.2534
16,0.0465,0.8277,0.0354,0.0518,0.0387,1,탈진,1,0,0.2595
17,0.0373,0.8566,0.0325,0.0427,0.0309,1,탈진,1,0,0.2593
18,0.0550,0.7836,0.0464,0.0635,0.0515,0,저주,0,1,0.2635
19,0.0255,0.9010,0.0218,0.0296,0.0220,1,탈진,1,0,0.2740
20,0.0461,0.8121,0.0422,0.0564,0.0432,1,탈진,1,0,0.2818
